"","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL"
"KLHDC9",-0.321633220809554,8.37864150763932,-6.6277562828446,4.09395068470165e-09,2.02778494851628e-06,10.6317146061388,"KLHDC9"
"HS.548045",-0.319725980226411,7.08803924791465,-6.62153747900425,4.20538512324325e-09,2.04067121187037e-06,10.6060574209573,"HS.548045"
"HS.4892",-0.432637708628468,10.5921122077959,-6.61916334075031,4.24871608780583e-09,2.04067121187037e-06,10.5962639271446,"HS.4892"
"CCKBR",-0.666866008794669,7.88413026063234,-6.6126595154707,4.36969994594332e-09,2.0674550490508e-06,10.5694396886321,"CCKBR"
"C16ORF53",0.373732138635127,8.6465483114519,6.60100146660562,4.59517376242656e-09,2.11297380255583e-06,10.5213741198707,"C16ORF53"
"SLC35A2",-0.167534553353189,7.21949745493207,-6.59829691154009,4.64910854704126e-09,2.11297380255583e-06,10.5102264383832,"SLC35A2"
"BAZ1A",0.341996393749977,7.54179934195984,6.59746260731957,4.66587275012329e-09,2.11297380255583e-06,10.5067878229103,"BAZ1A"
"VCAN",0.792013976453209,9.33913585045073,6.57875963709391,5.05782093145182e-09,2.25821019052144e-06,10.4297319519064,"VCAN"
"XPNPEP2",-0.223750334298281,6.93755184206181,-6.56657791196073,5.33048601002865e-09,2.32172241998894e-06,10.3795736721948,"XPNPEP2"
"LOC400464",0.212837589038175,7.08504081082522,6.56587949074624,5.34655320691458e-09,2.32172241998894e-06,10.3766986484018,"LOC400464"
"FAM160A2",-0.296399155230935,7.41132876094787,-6.5547951393516,5.60807159698723e-09,2.40237661654723e-06,10.3310809604252,"FAM160A2"
"NUDT15",0.280076441832523,7.76192442712089,6.54023654431597,5.97091247459262e-09,2.52370567259448e-06,10.2711955316836,"NUDT15"
"SRD5A3",-0.24917865812724,6.82635559431734,-6.53278569770039,6.1655145535968e-09,2.57166857038182e-06,10.2405606738385,"SRD5A3"
"OPN4",-0.0620323354714527,6.5513418380426,-6.52838464240653,6.28340156572457e-09,2.58680298225284e-06,10.2224696424986,"OPN4"
"NAP1L5",-1.00931764957873,9.26886097259833,-6.50724630709835,6.88149319482887e-09,2.79670941379583e-06,10.1356232110081,"NAP1L5"
"PLCE1",0.433869331183745,7.7976322828222,6.49610782176788,7.21900273744286e-09,2.89673907312581e-06,10.0898912232347,"PLCE1"
"FAM5B",-0.423996132133584,7.94161687265595,-6.4920601316129,7.34567383478765e-09,2.91072325703461e-06,10.0732775796772,"FAM5B"
