"symbol","RO","RA","RA-RO","PRA-RO","FDR"
"SGO1",0.889450998389672,2.56836269253861,1.67891169414894,2.23379450082911e-09,2.39328742818831e-05
"ANAPC16",6.28939071528703,6.92006822114844,0.630677505861415,1.18317244289839e-08,4.05155586804299e-05
"VTRNA2-1",3.69270857191452,6.63781920376012,2.9451106318456,1.3235435447219e-08,4.05155586804299e-05
"GNRH1",3.29180687783482,4.68538553835341,1.39357866051859,3.80915596680799e-08,9.06917711741795e-05
"RBM48",5.42213281097945,6.16279288123174,0.74066007025229,7.06954595928723e-08,0.000134677398159652
"KLF15",7.5381125876786,8.74636528738326,1.20825269970465,1.14943538385556e-07,0.000164200676035046
"PRKX",5.0579154258262,6.16077589041221,1.10286046458601,1.54217402182991e-07,0.000194386499645714
"GABRR2",2.13246541425546,2.63512157119066,0.5026561569352,2.08189363036924e-07,0.0002124324605312
"CABYR",5.70464709788156,6.2390447123832,0.534397614501641,2.48781962129921e-07,0.000242313631114543
"TRAF3IP2-AS1",5.24482959200333,5.80156269165015,0.556733099646824,2.65841229535973e-07,0.000247671559412906
"SMAD4",6.65886177172113,7.21470206429865,0.555840292577521,3.69926244530283e-07,0.000317071182711796
"PRR34-AS1",4.59283520646431,5.94210080140592,1.34926559494161,4.26572652688577e-07,0.000350308847113802
"LOC100506136",3.40379599755769,5.05261262723,1.64881662967231,4.55473975602614e-07,0.000350308847113802
"SNRNP48",4.90882788058004,5.61760314494801,0.708775264367963,5.26111371767196e-07,0.000388741878421637
"RAD52",6.27210403729626,6.97456206871355,0.702458031417291,6.32618456807625e-07,0.000437282202983026
"DNAH11",2.20353830158843,3.13719040739564,0.933652105807214,6.76425065606684e-07,0.000452951134556876
"RNASEH2C",6.80396794267171,7.38717907174648,0.583211129074766,8.95863815310492e-07,0.000548473423842092
"LINC01546",2.65037411480609,4.45382078623991,1.80344667143382,9.94955941811437e-07,0.000561050418977249
"TEKT2",3.98416295526069,4.89538341413812,0.911220458877436,1.56753664563539e-06,0.000839729381066879
"TUBB1",3.55847215627357,4.48611159204925,0.927639435775681,1.66501456988539e-06,0.00084947457627391
