"SYMBOL","nprobes","meanlogFC","minadjP","meanB"
"ITPRIP",1,0.667423840095555,6.65033475692344e-06,8.78495288707584
"PRKAR1B",1,-0.395962700797157,6.65033475692344e-06,8.78610094827372
"RNFT2",1,-0.338985577173522,6.65033475692344e-06,8.78923352463629
"DUSP28",1,-0.285332497122118,6.68374292128026e-06,8.7731298287969
"LPA",1,-0.0496257401685378,6.8203755162849e-06,8.74683131869571
"FAM174A",1,-0.471931577107722,6.9747522898891e-06,8.71853685754271
"ARHGEF10",1,0.529892071587991,7.2636787879569e-06,8.64394971868485
"EZR",1,0.689918673709158,7.2636787879569e-06,8.67138139892307
"LOC284988",1,0.647415335337959,7.2636787879569e-06,8.63619474772997
"LOC285550",1,-0.549133662331117,7.2636787879569e-06,8.64385432405251
"RQCD1",1,-0.382871636457974,7.2636787879569e-06,8.63936057906566
"TRABD",1,0.722381370534244,7.2636787879569e-06,8.63760538347791
"VIL2",1,0.782404789661589,7.2636787879569e-06,8.6326041592904
"C17ORF58",1,-0.350566501188714,7.35209471198027e-06,8.61181662333118
"PIGZ",1,-0.366198720367922,7.35209471198027e-06,8.60799265255763
"COPS8",1,-0.363813513799533,7.44489675269996e-06,8.58955829847385
"PLCB1",1,-0.545581067319732,8.08656562775941e-06,8.50426600591479
"KLHDC5",1,-0.413112291286641,8.20872963370577e-06,8.4835824723769
"C14ORF139",1,0.136834704937752,8.25577173997114e-06,8.47179343746203
"ANTXR2",1,0.417377191866224,8.41740247075565e-06,8.44700289180588
"RNF114",1,0.339810513840236,8.50711850510576e-06,8.42442140230177
"SERF1A",1,-0.114408751185569,8.50711850510576e-06,8.42890656838922
"LASS1",1,0.63838255534673,8.61836601773682e-06,8.4013785629132
"TNS1",1,0.364073312596869,8.61836601773682e-06,8.39972147390588
"KANK2",1,0.385920142744233,8.68960114133783e-06,8.38577554005772
"STAT4",1,-1.10647308513458,8.77786396888759e-06,8.37008060161235
"SCG3",1,-0.618795913549327,8.95936850758597e-06,8.33856284329766
"VIP",1,-0.707209161843862,8.95936850758597e-06,8.34232016343719
"HS.362343",1,-0.277556765034531,9.15891084275823e-06,8.31161193371907
"LAMC1",1,0.434628766077932,9.22118909824954e-06,8.29924338936902
"CHP",1,-0.469786671295436,9.69681302084318e-06,8.24541031521034
"C10ORF104",1,0.412149093299632,9.73573516219267e-06,8.22996000060817
"ITPKB",1,0.897411087756776,9.73573516219267e-06,8.23175547666758
"GPRASP2",1,-0.885820439245039,9.80043407634203e-06,8.21346304897066
"PEX11B",1,-0.64130390335376,9.80043407634203e-06,8.2121537879347
"CITED1",1,-0.16934190561667,9.81869830372736e-06,8.1990254652745
"PTPRN",1,-0.884508832809244,9.81869830372736e-06,8.19951505970531
"CCDC102A",1,0.44978120107566,9.82772876008377e-06,8.19252275763765
"CCDC125",1,0.673235169993804,1.00905908306877e-05,8.15067099909349
"FAM54A",1,-0.0825389669083165,1.00905908306877e-05,8.15190411489744
